zip_code,school_name,school_rating,grade_levels,percent_low_income
24501,T.C. Miller Elementary For Innovat.,6.0,PK-5,93
24503,Paul Munro Elementary School,6.0,PK-5,42
20110,George Carr Round Elementary School,6.0,PK-4,53
24060,Harding Avenue Elementary School,6.0,K-5,20
24073,Christiansburg Elementary School,6.0,3-5,46
23124,New Kent Elementary School,6.0,PK-5,27
23602,Kiln Creek Elementary School,6.0,PK-5,50
23608,R.O. Nelson Elementary School,6.0,PK-5,51
23505,Camp Allen Elementary School,6.0,PK-5,58
23503,Mary Calcott Elementary School,6.0,PK-5,42
24273,Norton Elementary School,6.0,PK-7,69
24171,Stuart Elementary School,6.0,PK-7,50
23703,Churchland Academy Elementary,6.0,K-6,77
20169,Mountain View Elementary School,6.0,PK-5,5
22025,John F. Pattie Sr. Elementary School,6.0,PK-5,23
22193,Minnieville Elementary School,6.0,PK-5,72
22192,Westridge Elementary School,6.0,PK-5,18
24141,Belle Heth Elementary School,6.0,3-6,41
23222,J.E.B. Stuart Elementary School,6.0,PK-5,96
23226,Mary Munford Elementary School,6.0,PK-5,98
23220,George W. Carver Elementary School,6.0,PK-5,98
22572,Richmond County Elementary School,6.0,PK-7,57
24015,Wasena Elementary School,6.0,PK-5,62
24017,Fairview Elementary School,6.0,PK-5,98
24014,Garden City Elementary School,6.0,PK-5,98
24014,Clearbrook Elementary School,6.0,PK-5,30
24153,Glenvar Elementary School,6.0,PK-5,37
24153,Mason's Cove Elementary School,6.0,PK-5,33
24019,Mountain View Elementary School,6.0,PK-5,31
24018,Oak Grove Elementary School,6.0,PK-5,33
24450,Central Elementary School,6.0,PK-5,39
24579,Natural Bridge Elementary School,6.0,PK-5,61
24441,South River Elementary School,6.0,PK-5,47
22834,Linville-Edom Elementary School,6.0,PK-5,36
22821,Ottobine Elementary School,6.0,PK-5,53
24649,Swords Creek Elementary School,6.0,3-7,61
24245,Dungannon Intermediate School,6.0,4-7,70
24251,Shoemaker Elementary School,6.0,PK-6,63
22407,Smith Station Elementary School,6.0,PK-5,37
22553,Courthouse Rd Elementary School,6.0,PK-5,33
22551,Berkeley Elementary School,6.0,PK-5,57
22406,Hartwood Elementary School,6.0,PK-5,34
22554,Winding Creek Elementary School,6.0,PK-5,18
24401,A. R. Ware Elementary School,6.0,K-5,52
23435,Northern Shores Elementary School,6.0,PK-5,19
23435,Driver Elementary School,6.0,PK-5,30
23434,Oakland Elementary School,6.0,PK-5,42
24605,Graham Intermediate School,6.0,3-5,42
24639,Raven Elementary School,6.0,K-5,86
23453,Christopher Farms Elementary School,6.0,PK-5,28
23452,Brookwood Elementary School,6.0,PK-5,58
23464,College Park Elementary School,6.0,PK-5,69
23452,King's Grant Elementary School,6.0,PK-5,40
23455,Pembroke Meadows Elementary School,6.0,PK-5,43
23462,Point O' View Elementary School,6.0,PK-5,51
23451,W.T. Cooke Elementary School,6.0,PK-5,41
23452,Windsor Woods Elementary School,6.0,PK-5,40
23464,Providence Elementary School,6.0,PK-5,33
23456,Rosemont Forest Elementary School,6.0,PK-5,32
24210,Abingdon Elementary School,6.0,PK-5,43
24312,Jackson Memorial Elementary School,6.0,PK-5,52
23185,Magruder Elementary School,6.0,PK-5,34
22204,Hoffman-Boston Elementary School,6.0,PK-5,53
23112,Spring Run Elementary School,6.0,PK-5,14
20165,Horizon Elementary School,6.0,PK-5,9
20147,Cedar Lane Elementary School,6.0,PK-5,23
23456,New Castle Elementary School,6.0,PK-5,19
24095,Goodview Elementary School,6.0,PK-5,51
24175,Greenfield Elementary School,6.0,PK-5,28
23116,Pole Green Elementary School,6.0,PK-5,9
23874,Meherrin Elementary School,6.0,PK-5,52
20171,Mcnair Elementary School,6.0,PK-6,14
20176,John W. Tolbert Jr. Elementary School,6.0,PK-5,18
22026,Swans Creek Elementary School,6.0,PK-5,50
22315,Island Creek Elementary School,6.0,PK-6,10
22030,Eagle View Elementary School,6.0,PK-6,16
20155,Glenkirk Elementary School,6.0,PK-5,5
22193,Rosa Parks Elementary School,6.0,PK-5,34
20105,Arcola Elementary School,6.0,PK-5,6
22546,Lewis & Clark Elementary School,6.0,PK-5,43
22701,Yowell Elementary School,6.0,PK-5,48
23223,Harvie Elementary School,6.0,PK-5,67
20148,Creighton's Corner Elementary School,6.0,PK-5,5
20158,Kenneth W Culbert Elementary School,6.0,PK-5,7
22827,River Bend Elementary School,6.0,PK-5,53
20136,Piney Branch Elementary School,6.0,PK-5,14
20105,Buffalo Trail Elementary School,6.0,K-5,8
24528,Brookneal Elementary School,6.0,PK-5,66
20169,Haymarket Elementary School,6.0,K-5,13
23336,Chincoteague Elementary School,5.0,PK-5,48
22932,Brownsville Elementary School,5.0,PK-5,13
22911,Stone Robinson Elementary School,5.0,PK-5,28
22301,Maury Elementary School,5.0,PK-5,33
22304,Patrick Henry Elementary School,5.0,PK-5,78
24426,Callaghan Elementary School,5.0,PK-5,52
