zip_code,school_name,school_rating,grade_levels,percent_low_income
24620,Hurley Elementary/Middle School,4.0,PK-7,82
23921,Buckingham Co. Middle School,4.0,6-8,67
24416,Parry Mccluer Middle School,4.0,6-7,47
22514,Caroline Middle School,4.0,6-8,52
24317,St Paul School,4.0,PK-7,70
23030,Charles City Co High School,4.0,7-12,48
22903,Buford Middle School,4.0,7-8,54
23323,Deep Creek Middle School,4.0,6-8,46
23324,Oscar Smith Middle School,4.0,6-8,86
23234,Falling Creek Middle School,4.0,6-8,68
22611,Johnson-Williams Middle School,4.0,6-8,23
22308,Sandburg Middle School,4.0,7-8,40
22306,Whitman Middle School,4.0,7-8,52
22312,Glasgow Middle School,4.0,6-8,61
22312,Holmes Middle School,4.0,6-8,52
22003,Poe Middle School,4.0,6-8,67
22712,Cedar Lee Middle School,4.0,6-8,34
20186,Warrenton Middle School,4.0,6-8,14
22963,Fluvanna Middle,4.0,5-7,31
24151,Ben. Franklin Middle-East,4.0,K-1,50
22601,James Wood Middle School,4.0,6-8,37
22601,Frederick County Middle School,4.0,6-8,27
22973,William Monroe Middle School,4.0,6-8,36
23666,Jefferson Davis Middle School,4.0,6-8,53
23228,Brookland Middle School,4.0,6-8,61
23223,Fairfield Middle School,4.0,6-8,61
24263,Jonesville Middle School,4.0,6-8,58
24277,Pennington Middle School,4.0,6-8,66
20164,Seneca Ridge Middle School,4.0,6-8,26
20164,Sterling Middle School,4.0,6-8,65
24504,Paul Laurence Dunbar Mid. For Innov.,4.0,6-8,45
23970,Park View Middle School,4.0,6-8,58
23092,St. Clare Walker Middle School,4.0,6-8,47
23124,New Kent Middle School,4.0,6-8,19
23518,Azalea Middle School,4.0,6-8,55
23502,Lake Taylor Middle School,4.0,6-8,90
23504,Ruffner Middle School,4.0,6-8,91
22473,Northumberland Middle School,4.0,6-8,55
24557,Gretna Middle School,4.0,6-8,64
22172,Graham Park Middle School,4.0,6-8,46
22193,Mills E. Godwin Middle School,4.0,6-8,71
24084,Dublin Middle School,4.0,6-8,41
24301,Pulaski Middle School,4.0,6-8,57
23221,Albert Hill Middle School,4.0,6-8,96
24015,James Madison Middle School,4.0,6-8,55
24450,Maury River Middle School,4.0,6-8,43
22657,Signal Knob Middle School,4.0,6-8,30
22847,North Fork Middle School,4.0,6-8,49
22551,Thornburg Middle School,4.0,6-8,34
22407,Battlefield Middle School,4.0,6-8,49
23434,Forest Glen Middle School,4.0,6-8,42
23839,Luther P. Jackson Middle School,4.0,5-8,67
23882,Sussex Central Middle School,4.0,6-8,79
22630,Warren County Middle School,4.0,6-7,41
22980,Kate Collins Middle School,4.0,6-8,59
22520,Montross Middle School,4.0,6-8,77
23188,Berkeley Middle School,4.0,6-8,44
24631,Twin Valley Elementary/Middle School,4.0,PK-7,66
23434,King's Fork Middle School,4.0,6-8,55
23851,Joseph P. King Jr. Middle School,4.0,6-8,94
20164,Dominion High School,4.0,PK-12,24
23416,Arcadia Middle School,4.0,6-8,80
23417,Nandua Middle School,4.0,6-8,67
20176,Smart's Mill Middle School,4.0,6-8,25
22401,Walker-Grant Middle School,4.0,6-8,53
22849,Page County Middle School,4.0,6-8,50
20176,Tuscarora High School,4.0,PK-12,20
23310,Northampton Middle,4.0,7-8,80
23061,Page Middle,4.0,6-8,35
22314,Jefferson-Houston PreK-8 School,3.0,PK-8,73
23868,James S Russell Middle School,3.0,6-8,95
24426,Jeter-Watson Intermediate School,3.0,4-7,55
24127,Craig County High School,3.0,6-12,44
23040,Cumberland Middle School,3.0,5-8,69
24540,O. Trent Bonner Middle School,3.0,6-8,93
22560,Essex Intermediate School,3.0,5-8,60
20170,Herndon Middle School,3.0,7-8,40
20186,W.C. Taylor Middle School,3.0,6-8,23
24079,Check Elementary School,3.0,PK-7,49
24592,Halifax County Middle School,3.0,6-8,59
22801,Thomas Harrison Middle School,3.0,5-8,63
23227,L. Douglas Wilder Middle School,3.0,6-8,79
23231,Rolfe Middle School,3.0,6-8,65
24503,Linkhorne Middle School,3.0,6-8,53
24502,Sandusky Middle School,3.0,6-8,69
20110,Grace E. Metz Middle School,3.0,7-8,58
23968,Bluestone Middle School,3.0,6-8,64
24162,Shawsville Middle School,3.0,6-8,60
23608,J.M. Dozier Middle School,3.0,6-8,57
23605,Crittenden Middle School,3.0,6-8,64
23606,Ethel M. Gildersleeve Middle School,3.0,6-8,38
23930,Nottoway Intermediate School,3.0,5-6,65
23703,Churchland Middle School,3.0,7-8,50
23901,Prince Edward Middle School,3.0,5-8,68
22193,Stuart M. Beville Middle School,3.0,6-8,57
20110,Parkside Middle School,3.0,6-8,47
20109,Stonewall Middle School,3.0,6-8,64
23225,Lucille M. Brown Middle School,3.0,6-8,98
22664,Peter Muhlenberg Middle School,3.0,6-8,43
22551,Post Oak Middle School,3.0,6-8,58
22554,Stafford Middle School,3.0,6-8,36
24401,Shelburne Middle School,3.0,6-8,53
23434,John F. Kennedy Middle School,3.0,6-8,62
24614,Riverview Elementary/Middle School,3.0,PK-8,62
23139,Pocahontas Middle School,3.0,K-1,15
20110,Mayfield Intermediate School,3.0,5-6,60
22026,Potomac Middle School,3.0,6-8,52
22802,Skyline Middle School,3.0,5-8,73
23150,Elko Middle School,3.0,6-8,54
22304,Francis C Hammond Middle,2.0,6-8,0
22301,George Washington Middle School,2.0,6-8,0
24260,Council Elementary/Middle School,2.0,PK-7,81
24517,Altavista High School,2.0,6-12,44
24540,Westwood Middle School,2.0,6-8,93
23847,Edward W Wyatt Middle School,2.0,5-8,71
22482,Lancaster Middle School,2.0,4-8,69
24112,Martinsville Middle School,2.0,5-8,79
23601,Homer L. Hines Middle School,2.0,6-8,62
23930,Nottoway Middle School,2.0,7-8,63
23702,Cradock Middle School,2.0,7-8,99
23701,Wm. E. Waters Middle School,2.0,7-8,99
22191,Fred M. Lynn Middle School,2.0,6-8,76
23220,Binford Middle School,2.0,6-8,96
23227,Henderson Middle School,2.0,6-8,98
23234,Thomas C. Boushall Middle School,2.0,6-8,97
